codigo,idh
421985,0.761
211400,0.595
355715,0.729
251740,0.623
293360,0.585
150840,0.646
261650,0.552
421970,0.752
421960,0.749
120070,0.599
421950,0.775
432380,0.735
412880,0.706
172210,0.671
421940,0.71
432377,0.752
293350,0.544
412850,0.687
317220,0.678
293345,0.6
172208,0.638
221170,0.544
293340,0.587
355710,0.79
355700,0.767
330630,0.771
317210,0.669
421935,0.673
412870,0.702
211300,0.57
320530,0.845
150835,0.596
211290,0.596
160080,0.619
261640,0.64
432375,0.655
293330,0.678
355695,0.725
250550,0.566
432370,0.757
432350,0.739
432360,0.78
355690,0.744
150830,0.515
317200,0.709
412865,0.722
317190,0.62
317180,0.675
317170,0.651
317160,0.61
355680,0.739
355670,0.817
110030,0.731
320520,0.8
320517,0.675
510860,0.688
522230,0.634
320515,0.681
432345,0.662
211285,0.581
221160,0.565
432340,0.761
432335,0.705
241500,0.576
432330,0.742
522220,0.647
510550,0.645
150820,0.617
251720,0.571
317140,0.668
421930,0.764
421920,0.7
432320,0.777
241490,0.592
317130,0.775
231410,0.571
270940,0.586
522205,0.684
500840,0.711
432310,0.638
261630,0.605
522200,0.712
211280,0.618
320510,0.686
432300,0.717
432290,0.702
317120,0.688
432285,0.723
261620,0.582
261618,0.563
317115,0.612
317110,0.667
412860,0.72
317107,0.632
293325,0.577
317103,0.584
261610,0.605
432280,0.773
510850,0.68
221150,0.503
355660,0.754
432270,0.737
241480,0.587
412855,0.699
293320,0.645
261600,0.592
412853,0.65
241475,0.555
320506,0.728
432260,0.712
317100,0.742
330620,0.714
317090,0.594
293317,0.586
241470,0.626
251710,0.707
355650,0.759
293315,0.555
221140,0.571
510840,0.734
293310,0.575
293305,0.539
317080,0.666
221135,0.553
231400,0.629
330615,0.659
231395,0.611
522190,0.687
317075,0.711
317070,0.778
355635,0.699
421915,0.629
355645,0.77
211270,0.542
355640,0.737
317065,0.634
421917,0.718
317060,0.696
320503,0.663
317057,0.631
421910,0.686
432255,0.757
355630,0.725
522185,0.746
355620,0.819
432252,0.646
432254,0.737
355610,0.735
293300,0.637
330610,0.738
221130,0.647
293290,0.623
432253,0.624
110180,0.627
110175,0.584
510835,0.656
432250,0.721
293280,0.59
522180,0.732
421900,0.772
355590,0.712
355600,0.745
421895,0.699
110170,0.609
231390,0.566
432240,0.744
130440,0.588
221120,0.631
317052,0.619
293270,0.616
130430,0.62
317050,0.633
231380,0.639
421890,0.694
150815,0.589
522170,0.703
317047,0.664
522160,0.737
211260,0.588
355580,0.746
293260,0.598
412840,0.721
241460,0.596
432237,0.649
412830,0.72
221110,0.577
355570,0.749
510830,0.665
270930,0.593
421885,0.705
317043,0.672
412820,0.74
432235,0.733
317040,0.736
293250,0.56
412810,0.761
231375,0.587
251700,0.584
317030,0.638
293245,0.515
280760,0.579
241450,0.618
231370,0.591
150812,0.604
251690,0.636
522157,0.67
140070,0.453
293240,0.617
355560,0.721
432234,0.7
412800,0.739
355550,0.727
317020,0.789
317010,0.772
355540,0.751
293230,0.593
355535,0.7
317005,0.614
316990,0.724
231360,0.648
293220,0.611
293210,0.582
317000,0.609
293200,0.605
130426,0.527
211250,0.561
421880,0.74
412796,0.672
316980,0.696
522155,0.691
522150,0.697
231355,0.606
432232,0.629
355530,0.736
316970,0.682
355520,0.751
211245,0.536
211240,0.561
172130,0.587
172125,0.67
355510,0.769
412795,0.73
355500,0.771
261590,0.634
432230,0.728
432225,0.718
432220,0.709
432218,0.694
261580,0.519
316960,0.719
211230,0.572
412790,0.695
432215,0.657
412788,0.611
421875,0.752
316950,0.626
355495,0.728
211227,0.555
150810,0.666
432210,0.747
150808,0.659
293190,0.579
421870,0.796
421860,0.775
522145,0.653
211223,0.606
432200,0.733
241445,0.602
261570,0.67
251680,0.609
261560,0.595
522140,0.699
432195,0.687
421850,0.795
421840,0.729
421835,0.774
330600,0.725
522130,0.745
316940,0.731
432190,0.768
432185,0.703
316935,0.752
500830,0.744
355490,0.753
432183,0.662
432180,0.759
432170,0.71
316930,0.744
432166,0.718
421830,0.706
412785,0.681
432163,0.791
355480,0.785
293180,0.528
432162,0.701
432160,0.719
330590,0.667
231350,0.606
150805,0.562
270920,0.532
261550,0.605
150803,0.531
355475,0.722
241440,0.572
355470,0.744
432150,0.762
355465,0.714
432149,0.683
510820,0.716
261540,0.618
130423,0.548
150800,0.586
316920,0.718
412780,0.699
280750,0.551
412770,0.768
316910,0.661
316905,0.696
316900,0.688
172120,0.681
172110,0.589
280740,0.557
316890,0.683
316880,0.74
432147,0.689
432146,0.742
316870,0.77
211220,0.649
355460,0.71
421820,0.784
421825,0.659
211210,0.537
421810,0.72
261530,0.618
241430,0.64
421800,0.76
412760,0.636
421795,0.717
355450,0.778
241105,0.635
241420,0.645
412750,0.664
