cod,nome,uf
520005,ABADIA DE GOIÁS,GO
310010,ABADIA DOS DOURADOS,MG
520010,ABADIÂNIA,GO
310020,ABAETÉ,MG
150010,ABAETETUBA,PA
230010,ABAIARA,CE
290010,ABAÍRA,BA
290020,ABARÉ,BA
410010,ABATIÁ,PR
420005,ABDON BATISTA,SC
150013,ABEL FIGUEIREDO,PA
420010,ABELARDO LUZ,SC
310030,ABRE CAMPO,MG
260005,ABREU E LIMA,PE
170025,ABREULÂNDIA,TO
310040,ACAIACA,MG
210005,AÇAILÂNDIA,MA
290030,ACAJUTIBA,BA
150020,ACARÁ,PA
230015,ACARAPE,CE
230020,ACARAÚ,CE
240010,ACARI,RN
220005,ACAUÃ,PI
430003,ACEGUÁ,RS
230030,ACOPIARA,CE
510010,ACORIZAL,MT
120001,ACRELÂNDIA,AC
520013,ACREÚNA,GO
240020,AÇU,RN
310050,AÇUCENA,MG
350010,ADAMANTINA,SP
520015,ADELÂNDIA,GO
350020,ADOLFO,SP
410020,ADRIANÓPOLIS,PR
290035,ADUSTINA,BA
260010,AFOGADOS DA INGAZEIRA,PE
240030,AFONSO BEZERRA,RN
320010,AFONSO CLÁUDIO,ES
210010,AFONSO CUNHA,MA
260020,AFRÂNIO,PE
150030,AFUÁ,PA
260030,AGRESTINA,PE
220010,AGRICOLÂNDIA,PI
420020,AGROLÂNDIA,SC
420030,AGRONÔMICA,SC
150034,ÁGUA AZUL DO NORTE,PA
310060,ÁGUA BOA (MG),MG
510020,ÁGUA BOA (MT),MT
270010,ÁGUA BRANCA (AL),AL
250010,ÁGUA BRANCA (PB),PB
220020,ÁGUA BRANCA (PI),PI
500020,ÁGUA CLARA,MS
310070,ÁGUA COMPRIDA,MG
420040,ÁGUA DOCE,SC
210015,ÁGUA DOCE DO MARANHÃO,MA
320016,ÁGUA DOCE DO NORTE,ES
290040,ÁGUA FRIA,BA
520017,ÁGUA FRIA DE GOIÁS,GO
520020,ÁGUA LIMPA,GO
240040,ÁGUA NOVA,RN
260040,ÁGUA PRETA,PE
430005,ÁGUA SANTA,RS
350030,AGUAÍ,SP
310080,AGUANIL,MG
260050,ÁGUAS BELAS,PE
350040,ÁGUAS DA PRATA,SP
420050,ÁGUAS DE CHAPECÓ,SC
350050,ÁGUAS DE LINDÓIA,SP
350055,ÁGUAS DE SANTA BÁRBARA,SP
350060,ÁGUAS DE SÃO PEDRO,SP
310090,ÁGUAS FORMOSAS,MG
420055,ÁGUAS FRIAS,SC
520025,ÁGUAS LINDAS DE GOIÁS,GO
420060,ÁGUAS MORNAS,SC
310100,ÁGUAS VERMELHAS,MG
430010,AGUDO,RS
350070,AGUDOS,SP
410030,AGUDOS DO SUL,PR
320013,ÁGUIA BRANCA,ES
250020,AGUIAR,PB
170030,AGUIARNÓPOLIS,TO
310110,AIMORÉS,MG
290060,AIQUARA,BA
230040,AIUABA,CE
310120,AIURUOCA,MG
430020,AJURICABA,RS
310130,ALAGOA,MG
250030,ALAGOA GRANDE,PB
250040,ALAGOA NOVA,PB
250050,ALAGOINHA (PB),PB
260060,ALAGOINHA (PE),PE
220025,ALAGOINHA DO PIAUÍ,PI
290070,ALAGOINHAS,BA
350075,ALAMBARI,SP
310140,ALBERTINA,MG
210020,ALCÂNTARA,MA
230050,ALCÂNTARAS,CE
250053,ALCANTIL,PB
500025,ALCINÓPOLIS,MS
290080,ALCOBAÇA,BA
210030,ALDEIAS ALTAS,MA
430030,ALECRIM,RS
320020,ALEGRE,ES
430040,ALEGRETE,RS
220027,ALEGRETE DO PIAUÍ,PI
430045,ALEGRIA,RS
310150,ALÉM PARAÍBA,MG
150040,ALENQUER,PA
240050,ALEXANDRIA,RN
520030,ALEXÂNIA,GO
310160,ALFENAS,MG
320030,ALFREDO CHAVES,ES
350080,ALFREDO MARCONDES,SP
310163,ALFREDO VASCONCELOS,MG
420070,ALFREDO WAGNER,SC
250057,ALGODÃO DE JANDAÍRA,PB
250060,ALHANDRA,PB
260070,ALIANÇA,PE
170035,ALIANÇA DO TOCANTINS,TO
290090,ALMADINA,BA
170040,ALMAS,TO
150050,ALMEIRIM,PA
310170,ALMENARA,MG
240060,ALMINO AFONSO,RN
410040,ALMIRANTE TAMANDARÉ,PR
430047,ALMIRANTE TAMANDARÉ DO SUL,RS
520050,ALOÂNDIA,GO
310180,ALPERCATA,MG
430050,ALPESTRE,RS
310190,ALPINÓPOLIS,MG
510025,ALTA FLORESTA,MT
110001,ALTA FLORESTA D'OESTE,RO
350090,ALTAIR,SP
150060,ALTAMIRA,PA
210040,ALTAMIRA DO MARANHÃO,MA
410045,ALTAMIRA DO PARANÁ,PR
230060,ALTANEIRA,CE
310200,ALTEROSA,MG
260080,ALTINHO,PE
350100,ALTINÓPOLIS,SP
140005,ALTO ALEGRE (RR),RR
430055,ALTO ALEGRE (RS),RS
350110,ALTO ALEGRE (SP),SP
210043,ALTO ALEGRE DO MARANHÃO,MA
210047,ALTO ALEGRE DO PINDARÉ,MA
110037,ALTO ALEGRE DOS PARECIS,RO
510030,ALTO ARAGUAIA,MT
420075,ALTO BELA VISTA,SC
510035,ALTO BOA VISTA,MT
310205,ALTO CAPARAÓ,MG
240070,ALTO DO RODRIGUES,RN
430057,ALTO FELIZ,RS
510040,ALTO GARÇAS,MT
520055,ALTO HORIZONTE,GO
315350,ALTO JEQUITIBÁ,MG
220030,ALTO LONGÁ,PI
510050,ALTO PARAGUAI,MT
412862,ALTO PARAÍSO (PR),PR
110040,ALTO PARAÍSO (RO),RO
520060,ALTO PARAÍSO DE GOIÁS,GO
410060,ALTO PARANÁ,PR
210050,ALTO PARNAÍBA,MA
410070,ALTO PIQUIRI,PR
310210,ALTO RIO DOCE,MG
320035,ALTO RIO NOVO,ES
230070,ALTO SANTO,CE
510060,ALTO TAQUARI,MT
410050,ALTÔNIA,PR
220040,ALTOS,PI
350115,ALUMÍNIO,SP
130002,ALVARÃES,AM
310220,ALVARENGA,MG
350120,ÁLVARES FLORENCE,SP
350130,ÁLVARES MACHADO,SP
350140,ÁLVARO DE CARVALHO,SP
350150,ALVINLÂNDIA,SP
310230,ALVINÓPOLIS,MG
430060,ALVORADA (RS),RS
170070,ALVORADA (TO),TO
110034,ALVORADA D'OESTE,RO
310240,ALVORADA DE MINAS,MG
220045,ALVORADA DO GURGUÉIA,PI
520080,ALVORADA DO NORTE,GO
410080,ALVORADA DO SUL,PR
140002,AMAJARI,RR
500060,AMAMBAI,MS
160010,AMAPÁ,AP
210055,AMAPÁ DO MARANHÃO,MA
410090,AMAPORÃ,PR
260090,AMARAJI,PE
430063,AMARAL FERRADOR,RS
520082,AMARALINA,GO
220050,AMARANTE,PI
210060,AMARANTE DO MARANHÃO,MA
290100,AMARGOSA,BA
130006,AMATURÁ,AM
290110,AMÉLIA RODRIGUES,BA
290115,AMÉRICA DOURADA,BA
350160,AMERICANA,SP
520085,AMERICANO DO BRASIL,GO
350170,AMÉRICO BRASILIENSE,SP
350180,AMÉRICO DE CAMPOS,SP
430064,AMETISTA DO SUL,RS
230075,AMONTADA,CE
520090,AMORINÓPOLIS,GO
250073,AMPARO (PB),PB
350190,AMPARO (SP),SP
280010,AMPARO DE SÃO FRANCISCO,SE
310250,AMPARO DO SERRA,MG
410100,AMPÉRE,PR
270020,ANADIA,AL
290120,ANAGÉ,BA
410105,ANAHY,PR
150070,ANAJÁS,PA
210070,ANAJATUBA,MA
350200,ANALÂNDIA,SP
130008,ANAMÃ,AM
170100,ANANÁS,TO
150080,ANANINDEUA,PA
520110,ANÁPOLIS,GO
150085,ANAPU,PA
210080,ANAPURUS,MA
500070,ANASTÁCIO,MS
500080,ANAURILÂNDIA,MS
320040,ANCHIETA (ES),ES
420080,ANCHIETA (SC),SC
290130,ANDARAÍ,BA
410110,ANDIRÁ,PR
290135,ANDORINHA,BA
310260,ANDRADAS,MG
350210,ANDRADINA,SP
430066,ANDRÉ DA ROCHA,RS
310280,ANDRELÂNDIA,MG
350220,ANGATUBA,SP
